Price,Area,MaintenanceStaff,Gymnasium,SwimmingPool,ClubHouse,CarParking,LiftAvailable,City,No_of_Bedrooms,Security,Children_playarea
69.7,1340,0,1,1,1,1,1,Hyderabad,2,1,1
290.0,3498,0,1,1,1,1,1,Hyderabad,4,1,1
65.9,1318,0,1,0,0,0,0,Hyderabad,2,0,1
57.4,1295,0,0,0,0,0,1,Hyderabad,3,0,0
56.8,1145,0,0,0,0,1,1,Hyderabad,2,0,1
61.0,1230,0,0,0,0,0,1,Hyderabad,2,0,0
70.0,1350,0,0,0,0,0,1,Hyderabad,2,0,0
42.0,1400,0,1,1,1,0,1,Hyderabad,3,0,1
99.0,2240,0,1,1,1,0,0,Hyderabad,3,1,1
98.0,1520,0,0,0,0,0,1,Hyderabad,2,0,0
89.0,1535,1,1,1,1,1,1,Hyderabad,3,1,1
63.0,1150,0,0,0,0,0,1,Hyderabad,2,0,0
63.0,1285,0,0,0,0,0,1,Hyderabad,2,0,0
90.0,1897,0,1,1,1,1,1,Hyderabad,3,1,1
111.0,1725,1,1,1,1,1,1,Hyderabad,3,1,1
115.0,1665,0,0,0,0,0,1,Hyderabad,3,0,1
109.0,1592,0,1,1,1,0,1,Hyderabad,3,0,1
86.2,1150,0,0,0,0,0,1,Hyderabad,2,0,0
99.0,2240,0,1,1,1,0,1,Hyderabad,3,1,1
39.0,1050,0,0,0,0,0,0,Hyderabad,3,0,0
69.7,1340,0,1,1,1,1,1,Hyderabad,2,1,1
290.0,3498,0,1,1,1,1,1,Hyderabad,4,1,1
65.9,1318,0,1,0,0,0,0,Hyderabad,2,0,1
57.4,1295,0,0,0,0,0,1,Hyderabad,3,0,0
56.8,1145,0,0,0,0,1,1,Hyderabad,2,0,1
61.0,1230,0,0,0,0,0,1,Hyderabad,2,0,0
70.0,1350,0,0,0,0,0,1,Hyderabad,2,0,0
42.0,1400,0,1,1,1,0,1,Hyderabad,3,0,1
99.0,2240,0,1,1,1,0,0,Hyderabad,3,1,1
98.0,1520,0,0,0,0,0,1,Hyderabad,2,0,0
89.0,1535,1,1,1,1,1,1,Hyderabad,3,1,1
63.0,1150,0,0,0,0,0,1,Hyderabad,2,0,0
63.0,1285,0,0,0,0,0,1,Hyderabad,2,0,0
90.0,1897,0,1,1,1,1,1,Hyderabad,3,1,1
111.0,1725,1,1,1,1,1,1,Hyderabad,3,1,1
115.0,1665,0,0,0,0,0,1,Hyderabad,3,0,1
109.0,1592,0,1,1,1,0,1,Hyderabad,3,0,1
86.2,1150,0,0,0,0,0,1,Hyderabad,2,0,0
99.0,2240,0,1,1,1,0,1,Hyderabad,3,1,1
39.0,1050,0,0,0,0,0,0,Hyderabad,3,0,0
78.0,1735,0,0,0,0,0,1,Hyderabad,3,0,0
196.0,2800,0,0,1,1,0,1,Hyderabad,3,0,1
60.5,1050,0,0,0,0,0,1,Hyderabad,2,0,0
61.5,1230,0,1,1,1,0,1,Hyderabad,2,0,1
50.0,1175,0,0,0,0,0,0,Hyderabad,2,0,0
47.6,1190,0,0,0,0,0,0,Hyderabad,2,0,0
300.0,2956,0,0,0,0,0,0,Hyderabad,4,0,0
25.0,680,0,0,0,0,0,0,Hyderabad,2,0,0
59.0,1350,0,0,1,0,0,1,Hyderabad,2,0,0
97.0,1970,0,1,1,1,0,1,Hyderabad,3,0,1
46.4,1105,0,1,0,1,0,1,Hyderabad,2,0,1
160.0,2005,0,0,0,0,0,0,Hyderabad,3,0,0
46.4,1105,0,0,0,0,0,1,Hyderabad,2,0,1
75.0,1406,0,0,0,0,0,0,Hyderabad,3,0,0
61.4,1545,0,1,0,1,0,1,Hyderabad,3,0,1
105.0,1495,0,1,1,1,1,1,Hyderabad,3,1,1
72.0,1300,0,0,0,0,0,0,Hyderabad,3,0,0
46.0,1200,0,1,1,1,0,1,Hyderabad,2,0,1
104.0,1450,0,0,0,0,0,0,Hyderabad,3,0,0
95.0,1450,0,0,0,0,0,0,Hyderabad,3,0,0
99.4,1912,0,1,0,0,1,1,Hyderabad,3,0,1
92.5,1850,0,0,0,0,0,1,Hyderabad,3,0,0
45.0,1300,0,0,0,0,0,1,Hyderabad,3,0,0
96.0,1674,0,1,1,0,1,1,Hyderabad,3,1,1
86.0,1242,0,0,0,0,0,0,Hyderabad,3,0,0
27.0,850,0,0,0,0,0,0,Hyderabad,2,0,0
66.0,1895,0,1,1,1,1,1,Hyderabad,3,1,1
85.9,1636,0,0,0,1,1,1,Hyderabad,3,1,0
55.0,1076,0,0,0,0,0,0,Hyderabad,2,0,0
32.0,1080,0,0,0,0,0,1,Hyderabad,2,0,0
205.0,2100,0,0,0,0,0,1,Hyderabad,3,0,0
63.0,1265,0,0,0,0,0,0,Hyderabad,2,0,0
64.0,1300,0,0,0,0,0,1,Hyderabad,3,0,0
49.9,1089,0,0,0,0,0,1,Hyderabad,2,0,0
105.0,1400,0,1,1,1,0,1,Hyderabad,2,0,1
43.0,850,0,0,0,0,0,0,Hyderabad,2,0,0
39.0,1100,0,0,0,0,0,0,Hyderabad,2,0,0
55.0,1700,0,0,0,0,0,1,Hyderabad,3,0,1
103.0,2150,0,1,1,1,1,1,Hyderabad,3,1,1
66.0,1195,0,1,1,1,0,1,Hyderabad,2,0,1
65.0,1105,0,0,0,0,0,0,Hyderabad,2,0,0
57.8,1205,0,1,0,0,1,1,Hyderabad,2,1,1
55.0,1250,0,0,0,0,0,1,Hyderabad,3,0,0
67.0,1340,0,1,1,1,1,1,Hyderabad,2,0,1
30.0,950,0,0,0,0,0,0,Hyderabad,2,0,0
47.0,1100,0,0,0,0,0,1,Hyderabad,2,0,0
150.0,1908,0,0,0,0,0,0,Hyderabad,3,0,0
78.7,1675,0,1,1,1,0,1,Hyderabad,3,1,1
75.0,1420,0,0,0,0,0,0,Hyderabad,3,0,0
89.0,1535,1,1,1,1,1,1,Hyderabad,3,1,1
32.0,910,0,1,1,1,0,1,Hyderabad,2,0,1
